Title,Link,Author Keywords,Index Keywords
"Sources and mechanisms of nitrate and orthophosphate transport in urban stormwater runoff from residential catchments","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011299403&doi=10.1016%2fj.watres.2017.01.039&partnerID=40&md5=58ec1e5a73a305ebe9b65dc6277d0045","Nitrate; Orthophosphate; Residential catchments; Stable isotopes; Urban stormwater runoff","Catchments; Fertilizers; Housing; Isotopes; Land use; Meteorological problems; Nitrates; Rain; Runoff; Storm sewers; Storms; Urban growth; Water quality; Atmospheric depositions; Development designs; Orthophosphate; Orthophosphate phosphorus; Stable isotopes; Transport mechanism; Urban stormwater runoff; Water quality impairment; Urban transportation; fertilizer; hydrogen; isotope; nitrate; nitrogen; oxygen; phosphate; phosphorus; rain; storm water; water; nitric acid derivative; water pollutant; atmospheric deposition; catchment; concentration (composition); fertilizer application; mineralization; nitrate; nitrogen; orthophosphate; pollutant source; pollutant transport; rainfall-runoff modeling; residential location; soil erosion; stable isotope; stormwater; urban pollution; Article; atmospheric deposition; catchment; concentration (parameters); Florida; grass; mineralization; nutrient concentration; plant leaf; principal component analysis; priority journal; residential area; runoff; soil; transport kinetics; urban area; environmental monitoring; water flow; water pollutant; Florida [United States]; Tampa Bay; United States; Environmental Monitoring; Nitrates; Nitrogen; Phosphates; Water Movements; Water Pollutants, Chemical"
"Comparing methods of calculating expected annual damage in urban pluvial flood risk assessments","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925394007&doi=10.3390%2fw7010255&partnerID=40&md5=539578544d9ab3f27739d4ab8e6b89b7","Climate change adaptation; Damage cost estimation; Expected annual damage; Integrated risk analysis; Urban flood risk","Catchments; Climate change; Cost benefit analysis; Cost estimating; Costs; Damage detection; Risk analysis; Risk assessment; Risk perception; Climate change adaptation; Damage costs; Expected annual damages; Integrated risks; Urban flood risks; Floods; annual variation; comparative study; cost-benefit analysis; flood damage; flooding; risk assessment; sewer network; stakeholder; water management"
"A review of frontier approaches to efficiency and productivity measurement in urban water utilities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887993745&doi=10.1080%2f1573062X.2013.765488&partnerID=40&md5=517f56a75081d3b781d9ab36dbc111a8","cost efficiency; data envelopment analysis (DEA); scale efficiency; stochastic frontier analysis; technical efficiency; urban water utilities","data envelopment analysis; econometrics; empirical analysis; estimation method; policy making; regulatory framework; stochasticity; sustainability; urban area; Australia; Brazil; Canada; Germany; Italy; Malaysia; Mexico [North America]; Slovenia; Spain; United Kingdom; United States"
"Characterising metal build-up on urban road surfaces","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873915150&doi=10.1016%2fj.envpol.2013.01.021&partnerID=40&md5=192a5175159775f668935159c7221c9e","Metal build-up; Pollutant build-up; Stormwater pollutant processes; Stormwater pollution; Stormwater quality; Urban water quality","Pollutant build-up; Stormwater pollutants; Stormwater pollution; Stormwater quality; Urban water qualities; Forecasting; Metals; Roads and streets; Storm sewers; Storms; Water pollution; Copper; aluminum; calcium; chromium; copper; iron; lead; manganese; metal; nickel; zinc; anthropogenic source; empirical analysis; metal; pollutant source; road; stormwater; urban area; water pollution; water quality; article; cluster analysis; factorial analysis; mathematical model; pollutant; prediction; road; traffic and transport; urban area; Environmental Monitoring; Geologic Sediments; Metals; Models, Chemical; Soil Pollutants; Water Pollutants, Chemical"
"Diagnosing transformative change in urban water systems: Theories and frameworks","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84872599377&doi=10.1016%2fj.gloenvcha.2012.07.008&partnerID=40&md5=af0ead003fce21105695603fa21f2a8b","Diagnosis; Strategic planning; Sustainability; Transformative change; Transition; Urban water","climate change; climate effect; decision making; population growth; stormwater; strategic approach; water economics; water management; Australia; Melbourne; Victoria [Australia]"
"The needs of society: A new understanding of transitions, sustainability and liveability","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900541083&doi=10.1016%2fj.techfore.2013.09.005&partnerID=40&md5=e7e2a50c9aac190ae5f91a4ff041eee8","Liveability; Societal needs; Sustainability; Transitions; Water sensitive cities","Electron transitions; Social sciences; Liveability; Research fields; Social psychology; Societal needs; Societal systems; Sociotechnical; Urban water systems; Water-sensitive cities; Sustainable development; infrastructure; sustainability; theoretical study; urban area; water economics; Australia"
"Degrowth initiatives in the urban water sector? A social multi-criteria evaluation of non-conventional water alternatives in Metropolitan Barcelona","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867225088&doi=10.1016%2fj.jclepro.2011.09.020&partnerID=40&md5=311281864810ebbd6854762e83be92e9","Decentralisation; Degrowth; Metropolitan Area of Barcelona; Non-conventional water supply; Social multi-criteria evaluation; Urban water management","Barcelona; Decentralisation; Degrowth; Multi-criteria evaluation; Urban water management; Desalination; Rain; Wastewater reclamation; Water filtration; Water management; Water supply; Water conservation"
"Mapping Urban Water Demands Using Multi-Criteria Analysis and GIS","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858613887&doi=10.1007%2fs11269-011-9962-3&partnerID=40&md5=b5faa32d48b1efe606fe801f8990e3d6","Analytic hierarchy process; GIS; Mytilene; Urban growth trend; Urban water demands forecasting; Water consumption","Adopting policy; Analytical Hierarchy Process; Comparative evaluations; Domestic water; Domestic water use; Land use/land cover; Multi Criteria Analysis; Multi-criteria; Mytilene; Physical characteristics; Planning strategies; Population densities; Road network; Sewerage system; Socio-economics; Spatial data analysis; Study areas; Sustainable water resources; Thematic layers; Topographic slope; Urban growth trend; Urban waters; Water consumption; Water demand; Water policies; Analytic hierarchy process; Geographic information systems; Population statistics; Water conservation; Water management; Water supply; Urban growth; analytical hierarchy process; comparative study; GIS; mapping method; multicriteria analysis; resource management; spatial data; water demand; water management; water resource; water use; Aegean Islands; Greece; Lesbos; Northern Aegean"
"Integration of seawater and grey water reuse to maximize alternative water resource for coastal areas: The case of the Hong Kong International Airport","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863038632&doi=10.2166%2fwst.2012.768&partnerID=40&md5=2e9606d4a5be62aa39fa62f62eb7ad28","Full-scale demonstration; Grey water reuse; Integrated water supply system; Seawater supply","Alternative water resource; Coastal area; Coastal cities; Hong Kong International - Airport; Hong-kong; Low energies; Population growth; Pressurized water; Supply system; Sustainable water resources; Toilet flushing; Urban waters; Wastewater reuse; Water reuse; Waterresource management; Airports; Climate change; Coastal zones; Energy utilization; Population statistics; Resource allocation; Seawater; Sewage; Wastewater; Water conservation; Water management; Water recycling; Water supply; Water supply systems; Wastewater reclamation; cooling water; fresh water; sea water; airport; coastal zone; cost-benefit analysis; freshwater; integrated approach; recycling; seawater; sustainability; urban area; urbanization; wastewater; water availability; water demand; water management; water resource; water stress; water supply; airport; article; coastal waters; cost benefit analysis; desalination; energy consumption; Hong Kong; integration; population growth; resource management; seashore; sewage; waste water recycling; water cycle; water supply; Airports; Environment; Fresh Water; Hong Kong; Recycling; Seawater; Toilet Facilities; Waste Disposal, Fluid; Chek Lap Kok Airport; China; Hong Kong; Lantau Island"
"Urbanizing rural waters: Rural-urban water transfers and the reconfiguration of hydrosocial territories in Lima","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006323717&doi=10.1016%2fj.polgeo.2016.12.002&partnerID=40&md5=bf6354a5dace96915b5d4d93af089cd5","Hydropower; Hydrosocial territory; Urban-rural relations; Urbanization; Water governance; Water transfers","drinking water; hydroelectric power; rural area; territory; urban area; urbanization; Lima [Lima (DPR)]; Lima [Peru]; Peru"
"Adaptive, multiobjective optimal sequencing approach for urban water supply augmentation under deep uncertainty","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027952102&doi=10.1002%2f2014WR016254&partnerID=40&md5=f46912fa0f605031fd1cc9a64c6c76c5","adaptive; deep uncertainty; dynamic robustness; flexibility; multiobjective optimization; static robustness; transient scenarios; urban water supply augmentation sequencing","Economic and social effects; Multiobjective optimization; Scheduling; Water resources; Water supply systems; adaptive; Deep uncertainties; Dynamic robustness; flexibility; Urban water supply; Water supply; uncertainty analysis; urban planning; water planning; water resource; water supply"
"Water footprint of cities: A review and suggestions for future research","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946426796&doi=10.3390%2fsu7078461&partnerID=40&md5=b8d79e08b309c2241ab13b2f696ea797","Cities; Embedded resource accounting; Environmentally extended input-output; Life cycle assessment; Urban metabolism; Virtual water; Water footprint; Water scarcity","commercial activity; decision making; drinking water; goods exchange; industrial development; life cycle analysis; residential development; urban planning; urban policy; water flow; water footprint; water resource; water supply"
"Water marginalization at the urban fringe: Environmental justice and urban political ecology across the North-South divide","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929291142&doi=10.1080%2f02723638.2015.1005414&partnerID=40&md5=14f3e7a931905133a5f2046d27fa1766","provincializing urbanism; right to water; transnational comparison; traveling theory; urban informality; urban periphery","comparative study; environmental justice; poverty; urban geography; urban politics; California; California Valley; United States"
"A multi-scale relevance vector regression approach for daily urban water demand forecasting","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904904412&doi=10.1016%2fj.jhydrol.2014.05.033&partnerID=40&md5=9bda9b8d81c73817f4c54b60b19d3517","Adaptive chaos particle swarm optimization; Multi-scale; Relevance vector regression; Stationary wavelet transform; Water demand forecasting","Chaos particle swarm optimizations; Multi-scale; Relevance vector regression; Stationary wavelet transforms; Water demand forecasting; data acquisition; forecasting method; regression analysis; time series; water demand; water supply; wavelet; algorithm; data set; optimization"
"Drops of energy: Conserving urban water to reduce greenhouse gas emissions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885117558&doi=10.1021%2fes304816h&partnerID=40&md5=296c129c8ceedfb0255c058ad55f5e0c",,"Industrial sector; Modern civilization; Municipal water; Recycled water; Sustainable water management; Total energy consumption; Total water system; Water and energies; Energy utilization; Gas emissions; Greenhouse gases; Water conservation; Water management; Water supply; Water supply systems; Energy conservation; ground water; rain; surface water; civilization; emission inventory; energy use; greenhouse gas; optimization; price determination; recycling; sustainability; urban area; water economics; water industry; water management; water supply; article; China; energy conservation; energy consumption; greenhouse effect; greenhouse gas; mathematical model; urban area; water conservation; water flow; water management; water supply; Changzhou; China; Jiangsu; Air Pollution; China; Cities; Conservation of Natural Resources; Greenhouse Effect; Rain; Recycling; Waste Water; Water Supply"
"Toxicity characterization of urban stormwater with bioanalytical tools","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884503288&doi=10.1016%2fj.watres.2013.06.037&partnerID=40&md5=ef31f3af628074e467ad2b946e278fe5","Alternative water source; Bioassay; Invitro; Mode of toxic action; Stormwater harvesting; Urban runoff","Algae; Bioassay; Catchments; Effluent treatment; Effluents; Land use; Organic pollutants; Population statistics; Potable water; Risk assessment; River pollution; Roads and streets; Runoff; Sewage; Storm sewers; Storms; Toxicity; Wastewater treatment; Water supply; Water supply systems; Alternative water sources; In-vitro; Mode of toxic actions; Stormwater harvesting; Urban runoff; Urban growth; dioxin; herbicide; runoff; storm water; alga; bioassay; drain; drinking water; environmental monitoring; genotoxicity; harvesting; phytotoxicity; pollutant; population growth; risk assessment; sampling; sewage; stormwater; surface water; toxicity; wastewater; water pollution; water supply; alga; article; environmental health; genotoxicity; health; oxidative stress; phytotoxicity; priority journal; sewage; toxicity; waste water treatment plant; Australia; algae; Alternative water source; Bioassay; In vitro; Mode of toxic action; Stormwater harvesting; Urban runoff; Biological Assay; Environmental Monitoring; Oxidative Stress; Water Pollutants, Chemical"
"Application of global sensitivity analysis and uncertainty quantification indynamic modelling of micropollutants in stormwater runoff","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84855521301&doi=10.1016%2fj.envsoft.2011.09.012&partnerID=40&md5=abc681b9ce04a0d926a1ccab5ed66d0a","Generalized Likelihood Uncertainty Estimation; GLUE-GSA approach; Pollution control strategies; SEWSYS; Sobol' sensitivity indices; Stormwater micropollutants","Generalized likelihood uncertainty estimation; GLUE-GSA approach; Pollution control strategies; SEWSYS; Sobol' sensitivity index; Stormwaters; Catchments; Estimation; Glues; Gluing; Pollution control; Quality control; Runoff; Sensitivity analysis; Storm sewers; Uncertainty analysis; catchment; copper; correlation; hydrological modeling; maximum likelihood analysis; microstructure; pollution control; qualitative analysis; quantitative analysis; runoff; sensitivity analysis; stormwater; uncertainty analysis; waste management"
